stock_code,corp_code,corp_name,jurir_no
003640,00140380,유니온스틸,1101110041501
064420,00399773,케이피케미칼,2301110082112
053000,00375302,우리금융지주,1101112202797
068870,00423609,LG생명과학,1101112581183
037620,00311030,미래에셋증권,1101111821423
000830,00126229,삼성물산,1101110002975
025850,00160612,한화화인케미칼,1101110234859
010520,00164469,현대하이스코,1101110302416
001300,00148328,제일모직,1701110000076
003600,00144155,SK,1101110022816
008000,00148717,도레이케미칼,1748110000151
004130,00109170,대덕GDS,1301110007640
192820,01009789,코스맥스,1348110294273
003570,00134477,SNT중공업,1101110042880
103130,00609485,웅진에너지,1601110214702
005180,00124726,빙그레,1152110000287
008060,00109189,대덕,1301110007608
009680,00151128,모토닉,1101110161317
034120,00130772,SBS,1101110731483
082740,00361008,HSD엔진,1942110038423
000700,00163691,유수홀딩스,1101110003262
029530,00135795,신도리코,1101110034960
025540,00157070,한국단자공업,1201110002957
057050,00412597,현대홈쇼핑,1101112248882
002240,00103006,고려제강,1801110001220
010690,00166315,화신,1701110014936
005740,00153126,크라운해태홀딩스,1101110093552
001630,00149354,종근당홀딩스,1101110028955
007700,00126487,F&F 홀딩스,1101110126783
007860,00163114,서연,1101110129026
383220,01568413,F&F,1101117875440
019170,00137359,신풍제약,1301110011815
241590,01128613,화승엔터프라이즈,1101115891943
009580,00119007,무림P&P,1812110002548
026960,00144395,동서,1101110180888
005690,00145163,파미셀,1601110005177
067250,00109453,케이조선,1801110002814
002620,00148443,제일파마홀딩스,1101110026652
006390,00164672,한일현대시멘트,1101110111867
004700,00148939,조광피혁,1501110001036
000480,00148984,조선내화,2011110000440
001520,00117337,동양,1101110005333
001440,00113207,대한전선,1101110035835
017900,00152729,광전자,2149110002560
093370,00595191,후성,1314110189425
081660,00195229,휠라홀딩스,1101110792667
005950,00145552,이수화학,1101110008600
013570,00117179,디와이,1942110000472
001800,00117577,오리온홀딩스,1101110004690
008730,00145260,율촌화학,1101110145147
104700,00687711,한국철강,1942110094318
103590,00683469,일진전기,1348110159279
111770,00776820,영원무역,1101114129585
003480,00163673,한진중공업홀딩스,1101110110083
051600,00159218,한전KPS,1101110371148
033920,00121543,무학,1901110002721
298050,01316254,효성첨단소재,1101116770170
192400,00132354,쿠쿠홀딩스,1845110000634
271560,01238169,오리온,1101116417805
013890,00150633,지누스,1347110002553
381970,01323032,케이카,1101116583490
077970,00480455,STX엔진,1942110066763
001060,00149947,JW중외제약,1101110019342
018250,00139454,애경산업,1101110398275
008350,00107224,남선알미늄,1701110005042
336260,01412725,두산퓨얼셀,2149110058935
052690,00159209,한전기술,1101110186307
002020,00152862,코오롱,1101110030528
004430,00134963,송원산업,1801110000636
004150,00171636,한솔홀딩스,1101110017867
005250,00108135,녹십자홀딩스,1345110000014
020150,00113997,일진머티리얼즈,2149110003625
096770,00631518,SK이노베이션,1101113710385
078520,00400857,에이블씨엔씨,1101111846174
088350,00113058,한화생명,1101110003204
271940,00972503,일진하이솔루스,2101110086548
170900,00956930,동아에스티,1101115079713
006280,00129679,녹십자,1101110109854
285130,01267170,SK케미칼,1311110501021
002270,00120508,롯데푸드,1101110033722
051310,00181934,포스코플랜텍,1812110010898
284740,01267684,쿠쿠홈시스,1355110319406
009900,00173078,명신산업,1712110000958
003190,00112004,알바이오,1101110006448
298020,01316227,효성티앤씨,1101116770138
003520,00141149,영진약품,1101110043127
000640,00116824,동아쏘시오홀딩스,1101110017990
069260,00426086,티케이지휴켐스,1101112611906
005680,00127200,삼영전자공업,1311110000205
000050,00101628,경방,1101110013287
005850,00125521,에스엘,1701110000034
375500,01524093,DL이앤씨,1101117736808
004020,00145880,현대제철,1201110001743
120110,00795135,코오롱인더,1353110013606
128940,00828497,한미약품,1348110197550
361610,01386916,SK아이이테크놀로지,1101117064217
316140,01350869,우리금융지주,1101116981206
003300,00162993,한일홀딩스,1101110040165
004490,00133858,세방전지,1101110202765
064960,00398792,SNT모티브,1801110396069
001780,00117027,알루코,1601110002313
032640,00231363,LG유플러스,1101111296676
003620,00138242,쌍용자동차,1101110035132
000230,00146083,일동홀딩스,1101110012776
020760,00198697,일진디스플,1545110006076
003120,00146214,일성신약,1101110039019
005610,00125530,SPC삼립,1101110090516
010060,00148896,OCI,1746110000981
003200,00146269,일신방직,1101110041717
004000,00157681,롯데정밀화학,1812110000013
001230,00114792,동국제강,1101110031338
185750,00992871,종근당,1101115260669
007810,00152686,코리아써키트,1301110026749
005440,00105280,현대그린푸드,1101110095201
012630,00164636,HDC,1101110279433
302440,01319899,SK바이오사이언스,1311110523736
006360,00120030,GS건설,1101110002694
000810,00139214,삼성화재해상보험,1101110005078
000660,00164779,SK하이닉스,1344110001387
002350,00173874,넥센타이어,1101110014219
003410,00138224,쌍용씨앤이,1101110037823
138040,00860332,메리츠금융지주,1101114566406
015760,00159193,한국전력공사,1146710001456
004940,00158909,하나은행,1101110672538
044820,00219574,코스맥스비티아이,1348110018641
011810,00138297,STX,1942110000183
079550,00503668,LIG넥스원,1101111516933
042700,00161383,한미반도체,1201110038423
006260,00105952,LS,1101110003965
272210,00339391,한화시스템,1760110020640
006840,00125080,AK홀딩스,1101110029721
294870,01310269,HDC현대산업개발,1101116740008
071970,00406046,STX중공업,1942110048381
001680,00121941,대상,1101110327125
105560,00688996,KB금융,1101113975517
009290,00103592,광동제약,1101110152134
009410,00153861,태영건설,1101110155451
300720,01319808,한일시멘트,1101116799203
010620,00164609,현대미포조선,1812110000526
069620,00427483,대웅제약,1348110075342
377300,01244601,카카오페이,1311110478337
009240,00161693,한샘,1341110003595
